"station_id","name","mode","lat","lon","year_opens","act","lines","color","src"
"X244","Fair Park E10","metro","32.777985","-96.682746","2045","10322","DNT Line - East;Line 76","#817717","extra"
"X532","Cockrell Hill NE","brt","32.743616","-96.873627","2045","7139","Jefferson Blvd BRT","#00838f","extra"
"X222","Hebron","metro","33.027448","-96.823388","2045","6911","DNT Line - East","#817717","extra"
"X591","Hillside Village","commuter","32.602019","-96.949672","2045","6890","Midlothian Line (ROW)","#5b6770","extra"
"X243","Fair Park E7","metro","32.779674","-96.704625","2045","6838","DNT Line - East;Line 76","#817717","extra"
"X241","Fair Park E","metro","32.783054","-96.74839","2045","6723","DNT Line - East;Line 76","#817717","extra"
"X057","Forest Hill E","commuter","32.672321","-97.25994","2045","6700","SE TexRail","#5b6770","extra"
"X521","Asian Trade District","brt","32.909488","-96.830546","2045","6583","Forest Lane BRT","#00838f","extra"
"X066","Watauga","commuter","32.893046","-97.259421","2045","6360","FTW/Denton","#5b6770","extra"
"X594","Oak Cliff","commuter","32.710056","-96.875803","2045","6202","Midlothian Line (ROW)","#5b6770","extra"
"X522","First Baptist Medical Center","brt","32.909408","-96.804066","2045","6176","Forest Lane BRT;DNT Line - East","#00838f","extra"
"X065","Keller W","commuter","32.92432","-97.255448","2045","5827","FTW/Denton","#5b6770","extra"
"X227","Addison S","metro","32.944895","-96.82778","2045","5036","DNT Line - East","#817717","extra"
"X576","Mesquite","commuter","32.773429","-96.627763","2045","4752","Terrell Line (ROW)","#5b6770","extra"
"X019","Forest Hill NW2","brt","32.680667","-97.27435","2045","4534","3","#00838f","extra"
"X020","Forest Hill NW","brt","32.680112","-97.273452","2045","4534","3","#00838f","extra"
"X499","Fairview","commuter","33.159586","-96.636305","2045","4097","Collin Commuter","#5b6770","extra"
"X571","South Dallas SW2","commuter","32.754554","-96.777526","2045","3611","Terrell Line (ROW);Ennis Line (ROW)","#5b6770","extra"
"X206","Oak Lawn NW","metro","32.8353","-96.8347","2045","3325","DNT Line - West","#E6EE9C","extra"
"X022","Forest Hill S","brt","32.661838","-97.267255","2045","2636","3","#00838f","extra"
"X248","Rowlett","metro","32.814214","-96.595111","2045","5800","DNT Line - East;Beltline Line","#817717","extra"
"X573","Fair Park E3","commuter","32.772681","-96.735004","2045","2394","Terrell Line (ROW)","#5b6770","extra"
"X572","Wheatley Place Historic District SE","commuter","32.745074","-96.752231","2045","2357","Terrell Line (ROW)","#5b6770","extra"
"X575","Mesquite W","commuter","32.776451","-96.664614","2045","1987","Terrell Line (ROW)","#5b6770","extra"
"X578","Mesquite E2","commuter","32.763191","-96.554276","2045","1593","Terrell Line (ROW)","#5b6770","extra"
"X021","Tarrant County College South Campus","brt","32.669789","-97.280205","2045","1578","3","#00838f","extra"
"X589","Midlothian","commuter","32.4824","-96.9942","2045","0","Midlothian Line (ROW)","#5b6770","extra"
"X055","Mansfield","commuter","32.567468","-97.142053","2045","0","SE TexRail;Purple line;Waxahachie Line (ROW)","#5b6770","extra"
"X262","Victory Park","metro","32.79089","-96.804995","2050","103257","Line 76","#880E4F","extra"
"X258","Bachman Lake","metro","32.81697","-96.843376","2050","54868","Line 76","#880E4F","extra"
"X259","Design District W","metro","32.80106","-96.839606","2050","54333","Line 76","#880E4F","extra"
"X261","Victory","metro","32.793024","-96.812029","2050","35831","Line 76","#880E4F","extra"
"X505","Eating Recovery Center Dallas / Plano NW2","metro","33.087719","-96.822523","2050","24036","Legacy Line","#0d8a4f","extra"
"X249","Great Restaurants","metro","32.85517","-96.992241","2050","18045","Line 76;Beltline Line;Purple line","#880E4F","extra"
"X250","Las Colinas SW","metro","32.866387","-96.984747","2050","18033","Line 76","#880E4F","extra"
"X506","Eating Recovery Center Dallas / Plano","metro","33.070527","-96.812679","2050","17551","Legacy Line","#0d8a4f","extra"
"X562","Carrollton NW2","commuter","32.957299","-96.906069","2050","15174","Sherman Line (ROW)","#5b6770","extra"
"X566","Frisco","commuter","33.151512","-96.828998","2050","14172","Sherman Line (ROW)","#5b6770","extra"
"X501","Frisco","metro","33.150543","-96.82393","2050","14172","Legacy Line","#0d8a4f","extra"
"X252","Irving N","metro","32.851703","-96.943125","2050","13833","Line 76","#880E4F","extra"
"X254","Irving E","metro","32.833485","-96.90292","2050","13199","Line 76","#880E4F","extra"
"X563","New Koreatown","commuter","32.978541","-96.878695","2050","11027","Sherman Line (ROW)","#5b6770","extra"
"X272","Balch Springs NW","metro","32.76295","-96.65676","2050","10445","Line 76","#880E4F","extra"
"X275","Mesquite NE","metro","32.766698","-96.59933","2050","12592","Line 76;Beltline Line","#880E4F","extra"
"X251","Irving","metro","32.859056","-96.963966","2050","9236","Line 76","#880E4F","extra"
"X510","Epic Strides E2","metro","33.053812","-96.731579","2050","8517","Legacy Line","#0d8a4f","extra"
"X509","Epic Strides E","metro","33.056879","-96.754307","2050","8093","Legacy Line","#0d8a4f","extra"
"X507","Eating Recovery Center Dallas / Plano SE","metro","33.065622","-96.791817","2050","7579","Legacy Line","#0d8a4f","extra"
"X273","Mesquite","metro","32.769479","-96.6374","2050","7107","Line 76","#880E4F","extra"
"X567","Prosper","commuter","33.238827","-96.806499","2050","6939","Sherman Line (ROW)","#5b6770","extra"
"X508","Epic Strides","metro","33.066417","-96.771688","2050","6926","Legacy Line","#0d8a4f","extra"
"X565","The Colony","commuter","33.09085","-96.856909","2050","6232","Sherman Line (ROW)","#5b6770","extra"
"X260","Design District","metro","32.792546","-96.82244","2050","5727","Line 76","#880E4F","extra"
"X253","Irving NE","metro","32.844351","-96.922285","2050","5395","Line 76","#880E4F","extra"
"X504","Dr pepper ballpark","metro","33.099276","-96.823246","2050","5122","Legacy Line","#0d8a4f","extra"
"X593","Duncanville NE","commuter","32.653377","-96.907193","2050","4977","Midlothian Line (ROW)","#5b6770","extra"
"X529","Dallas","brt","32.761614","-96.816138","2050","4889","Jefferson Blvd BRT","#00838f","extra"
"X070","Fort Worth","commuter","32.786577","-97.322962","2050","4869","FTW/Denton","#5b6770","extra"
"X239","Baylor South","metro","32.771691","-96.771463","2050","4680","DNT Line - East;Line 76","#817717","extra"
"X068","Watauga SW","commuter","32.832448","-97.275218","2050","4104","FTW/Denton","#5b6770","extra"
"X231","Meaders","metro","32.894904","-96.80415","2050","4061","DNT Line - East","#817717","extra"
"X245","Mesquite W2","metro","32.792474","-96.668165","2050","3926","DNT Line - East","#817717","extra"
"X590","Cedar Hill","commuter","32.571822","-96.959549","2050","3091","Midlothian Line (ROW)","#5b6770","extra"
"X216","Frisco S2","metro","33.133567","-96.82925","2050","3045","DNT Line - East","#817717","extra"
"X592","Duncanville","commuter","32.628386","-96.92989","2050","2706","Midlothian Line (ROW)","#5b6770","extra"
"X242","Fair Park E5","metro","32.781366","-96.726524","2050","2474","DNT Line - East;Line 76","#817717","extra"
"X056","Forest Hill","commuter","32.650651","-97.236002","2050","1898","SE TexRail","#5b6770","extra"
"X069","Haltom City","commuter","32.809646","-97.297779","2050","1792","FTW/Denton","#5b6770","extra"
"X064","Keller","commuter","32.95574","-97.254696","2050","1504","FTW/Denton","#5b6770","extra"
"X063","Roanoke SW","commuter","32.984351","-97.239123","2050","550","FTW/Denton","#5b6770","extra"
"X569","Sherman","commuter","33.640283","-96.606733","2050","0","Sherman Line (ROW)","#5b6770","extra"
"X032","A Stop","brt","32.749122","-97.337377","2055","40240","46","#00838f","extra"
"X033","TCC Trinity River","brt","32.754976","-97.339474","2055","35785","46","#00838f","extra"
"X031","Magnolia W","brt","32.73301","-97.339404","2055","25248","46","#00838f","extra"
"X557","Melody Hills","commuter","32.823646","-97.305714","2055","17110","Gainesville Line (ROW)","#5b6770","extra"
"X558","Fort Worth Stockyards National Historic District NE3","commuter","32.8148","-97.323206","2055","13991","Gainesville Line (ROW)","#5b6770","extra"
"X559","Fort Worth Stockyards National Historic District","commuter","32.793628","-97.338995","2055","8252","Gainesville Line (ROW);FW Crosstown Loop","#5b6770","extra"
"X554","Saginaw","commuter","32.889496","-97.362584","2055","6118","Gainesville Line (ROW)","#5b6770","extra"
"X036","Fair Oaks","brt","32.785505","-97.383375","2055","6053","46","#00838f","extra"
"X037","Sansom Park SE","brt","32.795679","-97.397625","2055","6048","46","#00838f","extra"
"X556","Fort Worth Stockyards National Historic District NE2","commuter","32.807445","-97.322807","2055","5244","Gainesville Line (ROW)","#5b6770","extra"
"X274","Mesquite NW","metro","32.776008","-96.618041","2055","4767","Line 76","#880E4F","extra"
"X568","Celina","commuter","33.324268","-96.78434","2055","4714","Sherman Line (ROW)","#5b6770","extra"
"X039","Lake Worth","brt","32.811075","-97.429509","2055","4148","46","#00838f","extra"
"X564","Hebron","commuter","33.027084","-96.86436","2055","3564","Sherman Line (ROW)","#5b6770","extra"
"X502","Frisco S","metro","33.133649","-96.823891","2055","2720","Legacy Line","#0d8a4f","extra"
"X257","Hi Line W","metro","32.812534","-96.862623","2055","2143","Line 76","#880E4F","extra"
"X255","Hi Line W3","metro","32.822594","-96.883509","2055","0","Line 76","#880E4F","extra"
"X551","Gainesville","commuter","33.625847","-97.140163","2055","0","Gainesville Line (ROW)","#5b6770","extra"
"X256","Hi Line W2","metro","32.808095","-96.881879","2055","0","Line 76","#880E4F","extra"
"X416","Pearl","metro","32.796184","-96.807948","2060","85483","Blue Ctd","#01579B","extra"
"X417","Uptown","metro","32.802683","-96.80098","2060","81187","Blue Ctd","#01579B","extra"
"X402","Grand Prairie","metro","32.753586","-97.030047","2060","29785","Blue Ctd","#01579B","extra"
"X400","Six Flags","metro","32.757252","-97.070628","2060","21502","Blue Ctd","#01579B","extra"
"X401","Great Southwest N","metro","32.750837","-97.047877","2060","21311","Blue Ctd","#01579B","extra"
"X418","Old East Dallas","metro","32.806144","-96.776314","2060","18018","Blue Ctd;Silver","#01579B","extra"
"X415","Design District","metro","32.788387","-96.819155","2060","17646","Blue Ctd","#01579B","extra"
"X489","TCU E","brt","32.706084","-97.353596","2060","16556","FW Crosstown Loop","#00838f","extra"
"X398","Downtown Arlington","metro","32.738854","-97.106215","2060","16051","Blue Ctd","#01579B","extra"
"X396","UTA W","metro","32.729918","-97.126886","2060","15687","Blue Ctd","#01579B","extra"
