"geoid","pop","jobs","lat","lon"
"481130190481","1418","14","32.933974","-96.661475"
"480850315082","1884","1176","33.107851","-96.666659"
"483970405071","2479","3354","32.874851","-96.461621"
"481210217332","1664","33","33.00693","-97.000345"
"484391115423","1754","83","32.637067","-97.110032"
"484391115721","1602","314","32.680967","-97.040222"
"482570504022","1696","54","32.755391","-96.287356"
"484391115342","2004","182","32.655584","-97.179547"
"481210216131","2000","79","33.001999","-96.889719"
"481130006111","1092","132","32.823219","-96.822915"
"480850306082","1112","355","33.194441","-96.651345"
"481130016022","1535","350","32.793144","-96.790525"
"482570507011","1312","1107","32.688126","-96.343499"
"481130126011","1945","1178","32.854555","-96.659606"
"480850316802","1214","31","33.091935","-96.762671"
"484391015001","1075","1065","32.749814","-97.269368"
"481210203054","2439","351","33.002018","-97.167744"
"480850314211","1385","17","33.069711","-96.668317"
"484391060041","1471","653","32.628631","-97.268896"
"483671407081","3039","1284","32.730115","-97.757339"
"484391055201","1272","238","32.651313","-97.435966"
"481130180013","1295","30","32.834552","-96.653772"
"484391136361","30","61","32.91479","-97.099598"
"484391113162","3958","30","32.615926","-97.087842"
"482570502132","2206","108","32.71508","-96.435423"
"481210215211","1804","678","33.088509","-96.889708"
"480850318112","646","324","33.00136","-96.763534"
"481130182063","1584","539","32.87968","-96.628284"
"483970404091","2733","519","32.924167","-96.366197"
"484391131072","1405","485","32.767582","-97.118849"
"484391047013","1110","56","32.686727","-97.336301"
"481130141382","2074","88","32.899783","-96.935734"
"484391050094","1867","15243","32.829948","-97.302756"
"481130015031","538","100","32.80625","-96.773168"
"481130067012","2228","4","32.745212","-96.885822"
"484391136394","1840","1487","32.891193","-97.155306"
"481130078121","1938","549","32.897338","-96.745461"
"481130173102","2255","47","32.737372","-96.549977"
"484391110252","1495","93","32.631753","-97.365602"
"484391055121","1270","37","32.646489","-97.373505"
"484391136251","2018","397","32.863646","-97.151723"
"481210201171","917","564","33.306436","-96.979808"
"482570502091","3903","921","32.756675","-96.455519"
"482511302211","1278","1036","32.524731","-97.338231"
"484391131212","601","10","32.795589","-97.058054"
"481130144062","2734","430","32.826002","-96.982935"
"484391136302","1493","65","32.845777","-97.148344"
"481130118021","1821","246","32.730015","-96.652912"
"481130122112","632","926","32.804347","-96.686711"
"484391136331","2044","72","32.89041","-97.117517"
"480850305381","1568","14","33.184697","-96.746563"
"481130113002","2439","17","32.666968","-96.797654"
"484391113091","1499","955","32.560601","-97.127508"
"480850320161","1664","1731","33.00236","-96.648995"
"484391050074","2168","1175","32.858744","-97.300256"
"484391136242","974","49","32.855821","-97.120958"
"484391135102","1798","296","32.849558","-97.076938"
"481390602191","1847","52","32.466182","-96.80245"
"481130136091","1922","1432","32.948445","-96.771787"
"481130182033","1226","812","32.901345","-96.606"
"481130090021","1589","47","32.752011","-96.678734"
"480850314122","2604","155","33.142769","-96.620437"
"484391052043","1480","0","32.734238","-97.476294"
"484391219062","3017","81","32.717171","-97.068181"
"481210214102","1915","147","33.114144","-97.040888"
"484391134103","1341","804","32.820198","-97.205156"
"480850313192","1760","1600","33.010704","-96.561493"
"484391055172","1260","152","32.657945","-97.404336"
"481210203182","2339","263","33.137697","-97.18797"
"480850316681","1725","1913","33.041929","-96.821094"
"484391046031","2393","487","32.687305","-97.275197"
"481130166222","1653","90","32.556006","-96.8288"
"481130165171","1296","766","32.642628","-96.89614"
"481130178151","1617","2877","32.796187","-96.631253"
"481130192121","1143","14","32.931056","-96.760116"
"484391139305","3329","157","32.889258","-97.339483"
