"station_id","name","mode","src","year_opens","term","act1k","fwy_m","feasibility","lat","lon"
"X246","Mesquite NW2","metro","extra","2045","0","11093","1091","moderate","32.802088","-96.645616"
"X449","Estelle","metro","extra","2065","0","11220","103","moderate","32.857035","-97.014692"
"X247","towne","metro","extra","2045","0","11313","310","moderate","32.808804","-96.624036"
"X200","Addison W","metro","extra","2040","0","11317","3445","moderate","32.953156","-96.855471"
"X535","Sundance Square S","commuter","extra","2035","0","11586","393","moderate","32.718392","-97.32487"
"X233","Highland Park Village","metro","extra","2045","0","11631","929","moderate","32.836011","-96.805131"
"X335","Garland","brt","extra","2065","0","11707","5178","moderate","32.899496","-96.630851"
"X013","Six Points","brt","extra","2035","1","11718","423","moderate","32.771588","-97.304906"
"X577","Mesquite E","commuter","extra","2040","0","11724","2492","moderate","32.766778","-96.591464"
"X533","Cockrell Hill NW","brt","extra","2045","1","11754","2696","moderate","32.742336","-96.891421"
"S035","Riverside / Race St","metro","fw","2050","1","11989","904","moderate","32.774","-97.27"
"X496","Ridgmar Mall / BRT Transfer","brt","extra","2060","1","0","637","park-ride","32.742491","-97.44034"
"S033","Ridgmar Mall / BRT Transfer","metro","fw","2040","1","1887","644","park-ride","32.742118","-97.438575"
"S039","Handley","metro","fw","2040","1","3917","648","park-ride","32.732498","-97.218083"
"X392","Handley","metro","extra","2060","1","3917","648","park-ride","32.732464","-97.218083"
"X039","Lake Worth","brt","extra","2055","1","4148","28","park-ride","32.811075","-97.429509"
"X023","Forest Hill E2","brt","extra","2040","1","4420","35","park-ride","32.662214","-97.244891"
"X484","Berry/Stalcup","brt","extra","2065","1","4864","594","park-ride","32.708631","-97.237985"
"S046","Berry / Stalcup","metro","fw","2055","1","4864","594","park-ride","32.7085","-97.238"
"X030","S Main","brt","extra","2060","1","4927","192","park-ride","32.746524","-97.325622"
"S047","Benbrook","metro","fw","2070","1","4945","21","park-ride","32.6753","-97.4678"
"X255","Hi Line W3","metro","extra","2055","0","0","265","park-ride?","32.822594","-96.883509"
"X291","Sunset Acres","metro","extra","2070","0","0","20","park-ride?","32.669856","-96.96478"
