tract,lat,lon,pop,jobs
48113004700,32.746577,-96.831908,2551,3793
48113013617,32.981336,-96.795845,2953,1141
48439121611,32.676028,-97.21252,4589,1174
48439111320,32.581544,-97.050551,6068,288
48085031627,33.034604,-96.743078,4754,1214
48121021521,33.095236,-96.886501,4044,1044
48085031674,33.06262,-96.782957,5277,1380
48085031657,33.08239,-96.819675,2935,30467
48113012101,32.765671,-96.652806,3607,1818
48113016902,32.649615,-96.709738,7363,6230
48113018159,32.8066,-96.571238,5199,1435
48121021418,33.155563,-97.079691,4187,936
48113016203,32.711567,-97.011236,2189,470
48257050401,32.743327,-96.269811,3267,2967
48113005901,32.694144,-96.807982,5704,140
48121021752,33.025264,-97.08524,4851,211
48113013400,32.902202,-96.811111,2068,8080
48439113607,32.831845,-97.160845,4688,1111
48085031643,33.063935,-96.743397,4518,603
48113017500,32.756024,-96.606033,3823,700
48113011702,32.70787,-96.641343,5704,1055
48439105516,32.630622,-97.396389,2486,142
48439111010,32.606715,-97.498025,4246,598
48439113107,32.771646,-97.119376,2356,511
48085031624,33.023633,-96.758083,3532,4731
48257050207,32.799524,-96.478111,8412,99
48121020112,33.172724,-96.88769,3049,995
48439111516,32.662013,-97.123313,6595,6393
48251130412,32.467367,-97.110752,5690,829
48439113122,32.792702,-97.060242,3144,1051
48439110905,32.675116,-97.444219,4380,1178
48121021800,33.100448,-96.847414,4218,1908
48439106513,32.74047,-97.190202,2994,244
48113014408,32.826144,-97.004839,4373,1427
48113018802,32.913201,-96.640317,1566,3070
48439105703,32.654373,-97.363133,3814,1113
48085032012,33.035813,-96.691061,3662,712
48113011104,32.654824,-96.835516,3844,112
48113014205,32.853196,-96.938313,1925,9946
48439100101,32.788043,-97.300077,6019,264
48121020900,33.210789,-97.157262,3717,77
48439121702,32.752511,-97.092745,2221,18673
48113019211,32.968915,-96.733739,5077,10429
48113018900,32.922519,-96.656018,6363,4171
48113016204,32.716519,-97.004397,4156,698
48251130419,32.52485,-97.136878,3307,2459
48113017805,32.788365,-96.648713,6565,8778
48121021749,33.054075,-97.101598,3347,446
48113011101,32.657682,-96.847515,4458,610
48085032019,32.991065,-96.647855,2987,7578
48121021738,32.997243,-96.97427,3382,7942
48439113104,32.778339,-97.09153,3993,674
48439111568,32.619239,-97.108817,7295,351
48139060220,32.492022,-96.955171,3941,35
48113007206,32.861457,-96.864201,2325,792
48121020316,33.127331,-97.164399,3770,1591
48085030510,33.134439,-96.778805,3107,226
48085031660,33.090799,-96.798026,5418,960
48113010809,32.714672,-96.894612,5630,219
48113009609,32.902245,-96.847211,3184,452
48113011603,32.697223,-96.672056,3709,387
48113007801,32.875294,-96.778233,2430,10116
48439121606,32.71453,-97.182644,3381,700
48113019215,32.954828,-96.761919,2880,1113
48439105901,32.678415,-97.320472,4087,953
48367140603,32.649429,-97.864958,10166,887
48439111555,32.653197,-97.050724,4960,705
48439102301,32.727252,-97.437352,3388,4587
48113019400,32.846159,-96.790612,4290,2427
48113010904,32.671712,-96.878113,3714,2872
48113014704,32.823468,-96.929637,5742,699
48121020126,33.168251,-96.931678,3779,161
48113012000,32.755218,-96.656215,11383,88
48113007906,32.860115,-96.775799,2597,2191
48085031510,33.092407,-96.694829,6863,5020
48113009204,32.744663,-96.670294,3038,477
48085030102,33.326923,-96.39377,4282,331
48113016100,32.727796,-97.023428,3867,8511
48113008500,32.770661,-96.692763,4815,2050
48085031622,33.03404,-96.720505,6089,1586
48085031679,33.090823,-96.754034,2883,194
48113018402,32.871602,-96.642041,4417,1257
48367140201,32.749074,-97.799673,3193,3497
48439113808,32.875321,-97.24762,6404,714
48439100503,32.791863,-97.378444,2541,538
48113015406,32.767587,-97.030372,3505,86
48121020118,33.397362,-96.96227,4568,1011
